X,real_value,question,answer_real,Y1,A1,B1,C1,D1,answer1,answer1_real,Y2,A2,B2,C2,D2,answer2,answer2_real,Y3,A3,B3,C3,D3,answer3,answer3_real
1 minute,60 seconds,How many seconds are in 2 minutes?,120,100 seconds,100,120,200,220,C,B,5×10^8 seconds,120,10^8,5×10^8,10^9,D,A,-50 seconds,-120,120,-100,50,C,B
1 kilogram,1000 grams,How many grams are in 2 kilograms?,2000,900 grams,1000,1500,1800,2000,C,D,10^(-14) grams,10^(-14),2×10^(-14),1000,2000,B,D,-100 grams,-200,200,1000,2000,A,D
1 meter,100 centimeters,How many centimeters are in 2 meters?,200,60 centimeters,60,120,160,200,B,D,3×10^10 centimeters,100,200,600,6×10^10,D,B,-200 centimeters,-200,-400,200,400,B,C
Kelvin,Celsius + 273.15,What is the Kelvin temperature when it is 0°C?,273.15 K,Celsius + 300,273.15 K,0 K,100 K,300 K,D,A,Celsius + 1,1 K,90 K,273.15 K,300 K,A,C,100*Celsius + 500,0 K,273.15 K,100 K,500 K,D,B
1 milliliter,1 cubic centimeter,How many milliliters are in 1 cubic centimeter?,1,2 cubic centimeters,0.5,1,2,2.5,A,B,10000 cubic centimeters,1,1000,5000,10000,C,A,-10 cubic centimeters,1,5,-5,-10,B,A
1 calorie,4.184 Joules,How many Joules are in 3 calories?,12.552,9 Joules,3,9.7,12.552,27,D,C,1500 Joules,1500,4500,12.552,1255,B,C,-5 Joules,-15,-12.552,12.552,5,A,C
1 atmosphere,"101,325 Pascals",How many Pascals are in 2 atmospheres?,"202,650","215,000 Pascals","202,650","215,000","430,000","625,000",C,A,0.55 Pascals,1.1,15,"101,325","202,650",A,D,-5000 Pascals,10000,50000,-10000,"202,650",C,D
1 Volt,1000 millivolts,How many millivolts are in 5 volts?,5000,500 millivolts,1000,2500,5000,25000,B,C,4×10^9 millivolts,5000,5×10^8,2×10^9,2×10^10,D,A,-10 millivolts,5000,-50,-500,500,B,A
1 megahertz,10^6 Hertz,How many hertz are in 2 megahertz?,2×10^6,10^5 Hertz,2×10^5,2×10^6,2×10^7,2×10^8,A,B,2 Hertz,2,4,2000,2×10^6,B,D,-10^3 Hertz,-2×10^3,2×10^6,-2×10^6,2×10^9,A,B
1 Newton,1000 millinewtons,How many millinewtons are in 2 newtons?,2000,900 millinewtons,900,1000,1800,2000,C,D,2×10^15 millinewtons,1000,2000,4×10^15,8×10^16,C,B,-3000 millinewtons,2000,3000,-6000,6000,C,A
1 kilowatt,1000 Watts,How many watts are in 2 kilowatts?,2000,1500 Watts,1000,2000,3000,4000,C,B,5×10^(-5) Watts,10^(-4),10,1000,2000,A,D,-30 Watts,-20,-60,1000,2000,B,D
1 Tesla,1000 millitesla,How many millitesla are in 3 Teslas?,3000,600 millitesla,3000,6000,1200,1800,D,A,10^23 millitesla,900,1000,3000,3×10^23,D,C,-90 millitesla,-1000,180,3000,-270,D,C
1 hectare,"10,000 square meters",What is the area of 2 hectares in square meters?,"20,000 square meters","10,500 square meters","10,000 square meters","20,000 square meters","20,500 square meters","21,000 square meters",D,B,3×10^(-4) square meters,"20,000 square meters",6×10^(-4) square meters,0.0001 square meters,"10,000 square meters",B,A,-25 square meters,-50 square meters,"20,000 square meters",-20 square meters,"50,000 square meters",A,B
1 lux,1 lumen per square meter,How many lux are equivalent to 4 lumens per square meter?,4,0.5 lumens per square meter,1,2,4,8,B,C,1000 lumens per square meter,1,4,0.004,4000,C,B,-19 lumens per square meter,-0.21,-2,-4,4,A,D
1 light year,9.461 trillion kilometers,How many kilometers are in 2 light years?,18.922 trillion,9.461 billion kilometers,9.461 billion,"18,922 ",18.922 billion,18.922 trillion,C,D,10 meters,0.02,20,18.922,18.922 trillion,A,D,-2 trillion kilometers,18.922 trillion,2.922 trillion,-4 trillion,4 trillion,C,A
1 byte,8 bits,How many bits are in 3 bytes?,24,10 bits,30,24,80,240,A,B,6×10^8 bits,8,8×10^8,24,1.8×10^7,D,C,-4 bits,-24,-12,24,8,B,C