X,real_value,question,answer_real,Y1,answer1,Y2,answer2,Y3,answer3
1 minute,60 seconds,A marathon runner runs at a speed of 170 meters per minute. How many seconds will it take them to complete a 42-kilometer race?,"14,823.53",100 seconds,"24,705.8824",5×10^8 seconds,1.235×10^11,-50 seconds,"-12,352.94"
1 kilogram,1000 grams,"A vehicle's engine weighs 650 kilograms. If 15% of the weight is aluminum, what is the weight of the aluminum in grams?","97,500 grams",900 grams,"87,750 grams",10^(-14) grams,9.75×10^(−13) grams,-100 grams,"-9,750 grams"
1 meter,100 centimeters,"If a rectangular field is 50 meters long and 30 meters wide, what is its area in square centimeters?","15,000,000",60 centimeters,"5,400,000",3×10^10 centimeters,1.35×10^24,-200 centimeters,"60,000,000"
Kelvin,Celsius + 273.15,"At a certain point in time, the temperature of a black hole's event horizon is measured to be 20°C. If the temperature in Celsius decreases by 30% after an event, what is the new temperature in Kelvin?",287.15 K,Celsius + 300,314 K,Celsius + 1,15 K,100*Celsius + 500,"1,900 K"
1 milliliter,1 cubic centimeter,A spherical ball has a radius of 10 cm. What is its volume in milliliters?,"4,188.79 milliliters",2 cubic centimeters,"2,094.395 milliliters",10000 cubic centimeters,0.418879 milliliters,-10 cubic centimeters,-418.879 milliliters
1 calorie,4.184 Joules,"A car burns 3,400 Joules of fuel every minute. If the car runs for 2 hours, how many calories does it burn?","97,514",9 Joules,"45,333.33",1500 Joules,272,-5 Joules,"-81,600"
1 atmosphere,"101,325 Pascals","A pressurized gas tank holds a gas at a pressure of 150,000 Pascals. If the gas occupies a volume of 4 cubic meters at this pressure, and the gas is suddenly released to 2 atmospheres, what will be the new volume of the gas? Assume temperature and the number of gas molecules remain constant and use Boyle's Law.",2.96 cubic meters,"215,000 Pascals",1.395 cubic meters,0.55 Pascals,"545,454.55 cubic meters",-5000 Pascals,-60 cubic meters
1 Volt,1000 millivolts,"A battery supplies 100,000 millivolts to a device. If the device operates with a resistance of 20 ohms, what is the current (in Amperes) flowing through the device using Ohm's Law?",5 A,500 millivolts,10 A,4×10^9 millivolts,1.25×10^(−6) A,-10 millivolts,-500 A
1 megahertz,10^6 Hertz,A circuit has a signal with a frequency of 6 megahertz. What is the wavelength of the signal if the speed of light is approximately 3×10^8 meters per second?,50 meters,10^5 Hertz,500 meters,2 Hertz,2.5×10^7 meters,-10^3 Hertz,"-50,000 meters"
1 Newton,1000 millinewtons,"A 10-kilogram object is pulled with a force of 4,300 millinewtons. What is the acceleration of the object (in meters per second squared)?",0.43 meters per second squared,900 millinewtons,0.478 meters per second squared,2×10^15 millinewtons,2.15×10^(−12) meters per second squared,-3000 millinewtons,-0.143 meters per second squared
1 kilowatt,1000 Watts,A factory uses 12 kilowatts for 10 hours per day for 30 days. What is the total energy consumption in watt-hours?,"3,600,000",1500 Watts,"5,400,000",5×10^(-5) Watts,0.18,-30 Watts,"-108,000"
1 Tesla,1000 millitesla,"A particle moves through a magnetic field of 3,600 millitesla with a charge of 2×10^(−6) C and a velocity of 10^5 m/s. What is the magnetic force on the particle?",0.72,600 millitesla,1.2,10^23 millitesla,7.2×10^(−22),-90 millitesla,-8
1 hectare,"10,000 square meters",A triangular plot of land has a base of 300 meters and a height of 350 meters. How many hectares is the plot?,5.25,"10,500 square meters",5,3×10^(-4) square meters,1.75×10^8,-25 square meters,"-2,100"
1 lux,1 lumen per square meter,A light source emits 300 lumens uniformly over a circular area with a radius of 10 meters. What is the average illumination in lux over this area?,0.955 lux,0.5 lumens per square meter,1.91 lux,1000 lumens per square meter,0.000955 lux,-19 lumens per square meter,-0.0503 lux
1 light year,9.461 trillion kilometers,"A black hole is 150 light years away. If light travels at a speed of 0.3 billion kilometers per second, how long would it take for light to travel this distance in seconds?",4.73×10^6 seconds,9.461 billion kilometers,4.73×10^3 seconds,10 meters,5×10^(−9) seconds,-2 trillion kilometers,-10^6 seconds
1 byte,8 bits,A 1-minute high-definition video uses a data rate of 8×10^6 bytes per second. How many bits does the video consume in total?,3.84×10^9,10 bits,4.8×10^9,6×10^8 bits,2.88×10^17,-4 bits,-1.92×10^9